,chunk,vector
0,From my grandfather Verus I learned good morals and the government of my temper.,"[-0.2031693   0.26146584  0.08788294 -0.08422978 -0.19787707 -0.08574634
 -0.16733196  0.24844996 -0.25801786 -0.20532209 -0.12819613  0.1531241
  0.23831145  0.04207303  0.15250989  0.01322381 -0.04832349 -0.1003847
 -0.13035766  0.42635701 -0.07913913  0.23875219  0.09753728  0.01366652
 -0.19426663 -0.04398097 -0.04557806 -0.38590732 -0.15327886 -0.08039416
  0.01799368  0.28876742  0.07365654 -0.1390089   0.36873133 -0.17332238
 -0.24616782  0.1071068  -0.26816322 -0.44257171  0.00339279  0.34647137
  0.14153933 -0.16361983  0.15623841  0.0501157   0.11351416 -0.07818497
 -0.15808828 -0.22923194  0.04983389  0.22519404  0.03024142  0.45392495
 -0.5059293  -0.02879135 -0.11089822 -0.14200261 -0.10756266  0.13728399
 -0.09896006 -0.23570265 -0.34921151  0.23903562  0.23665003 -0.20039809
 -0.13715032  0.19443553  0.39194443 -0.05452824 -0.02288601  0.26585117
 -0.09182447 -0.46746582 -0.34510808 -0.08895941 -0.07012174 -0.37218068
  0.23040435  0.2214277  -0.05626246 -0.02686112  0.20755678  0.00478373
  0.22681519 -0.15151427  0.13463926 -0.26246515  0.10811212  0.09306793
  0.30488686 -0.27267337 -0.11098166  0.04797812  0.05829256  0.1465545
 -0.1617092  -0.26604424 -0.11731817  0.21368068 -0.00448464  0.23250238
 -0.1213949   0.06360099 -0.07008301 -0.01685103  0.14859023 -0.32765106
  0.19044945  0.16292662 -0.10913601 -0.11894993 -0.30696788 -0.2166525
 -0.00234409  0.20163727 -0.28564226 -0.18409913 -0.49653309 -0.03875755
  0.24204868  0.35362661  0.06970044 -0.04706926  0.26383756  0.14697583
 -0.38791992 -0.38156229 -0.17097041  0.23039153 -0.14966596 -0.01630726
  0.32518904  0.10065508  0.20642995  0.56006691  0.16440328  0.31582662
  0.2575401   0.0065373  -0.20812949  0.0282662   0.3137219  -0.07701963
 -0.04519069 -0.00849048 -0.27818188  0.04574723  0.27435622  0.00524605
 -0.05351083  0.17913037  0.03195385 -0.27516852 -0.20324517 -0.00130505
  0.25221102 -0.10976927 -0.02649353  0.1064198   0.23173442 -0.03821627
  0.44614857 -0.09548157  0.32738153  0.11763272 -0.25800864  0.42396798
  0.00558872  0.15721021  0.08277301 -0.13595828 -0.1664358   0.24763264
 -0.16137537  0.13638686 -0.27727547 -0.13309155 -0.27207918 -0.04377337
 -0.01961214 -0.42504647  0.03337137 -0.06502104  0.02400334  0.35077723
  0.27032675  0.01063239 -0.18565077 -0.05028842 -0.03537988  0.39863334
  0.10558995  0.02715086  0.13940244 -0.12298334 -0.26299965  0.18069285
 -0.05447628 -0.00599297  0.02132956  0.14484113 -0.07513749 -0.19209503
  0.02668775 -0.23049533 -0.3477993  -0.21531788  0.0358537   0.13842948
  0.07951157  0.03370132  0.44591601 -0.1692208   0.04170079  0.5102208
  0.3160052  -0.05134447  0.30210334  0.02321808 -0.13447969  0.43960814
 -0.01794103  0.33631381 -0.10885699 -0.08559628  0.12926188 -0.03991144
 -0.28641121  0.16095695  0.1636007   0.10841428 -0.18354432  0.06492566
 -0.1976065  -0.50132179 -0.00817116 -0.20285755 -0.06451677 -0.70145272
 -0.25481609  0.1372132  -0.16251764 -0.0963021  -0.02233231 -0.09807947
 -0.01973596  0.0212811   0.07680087 -0.44481134  0.05655564 -0.00491818
 -0.16295043  0.1549542   0.17117613  0.01900644]"
1,"From the reputation and remembrance of my father, modesty and a manly character.","[-0.26931801  0.34597372  0.11639072 -0.11179062 -0.26198646 -0.11366817
 -0.22136461  0.32959988 -0.34230311 -0.27178815 -0.17029823  0.20293361
  0.31590063  0.05598469  0.20190726  0.01813126 -0.06458351 -0.1327231
 -0.17274379  0.56540803 -0.1052118   0.31645367  0.12918056  0.01804996
 -0.25775338 -0.05868257 -0.05982897 -0.51158976 -0.20300924 -0.10657982
  0.02359084  0.38264049  0.09757744 -0.18446147  0.48853554 -0.22981693
 -0.3260715   0.14170759 -0.3553855  -0.58633436  0.00446951  0.458846
  0.18758637 -0.21675643  0.20666002  0.06609556  0.15029904 -0.10332416
 -0.20899036 -0.30388707  0.06590603  0.29836085  0.04011372  0.60144804
 -0.66998915 -0.03785724 -0.14647526 -0.18801958 -0.14221186  0.18177801
 -0.13113183 -0.31264023 -0.46201321  0.31631728  0.31312993 -0.26532793
 -0.18154116  0.25723617  0.51922867 -0.07248444 -0.03088276  0.35237729
 -0.12173772 -0.62005222 -0.45753124 -0.11766798 -0.09314437 -0.49294462
  0.30554081  0.29322664 -0.07493434 -0.03564215  0.27525559  0.00618358
  0.30022306 -0.20064744  0.17876466 -0.34784338  0.14327805  0.12333982
  0.40415991 -0.36077746 -0.14685153  0.06332114  0.07772141  0.19427374
 -0.21397747 -0.35247461 -0.15535719  0.28327136 -0.00602725  0.30835539
 -0.16071871  0.08456895 -0.09294462 -0.02193453  0.196896   -0.43416491
  0.2526926   0.21603287 -0.14434279 -0.15754951 -0.40624159 -0.28672229
 -0.00353935  0.26759082 -0.37818506 -0.24415533 -0.65765205 -0.05141423
  0.32074484  0.46909968  0.09210243 -0.06266939  0.34927218  0.19414864
 -0.51349537 -0.50506181 -0.22673066  0.30512591 -0.19895721 -0.02118574
  0.43102183  0.13344581  0.27311193  0.74230861  0.21747771  0.41793958
  0.34128056  0.00833093 -0.27587414  0.03736899  0.41599843 -0.10208285
 -0.06033788 -0.01120838 -0.36832103  0.06089343  0.36352132  0.00706216
 -0.0709515   0.23727539  0.04266835 -0.36515238 -0.26931187 -0.00159289
  0.33435869 -0.14543666 -0.03583019  0.14069574  0.30674885 -0.05032368
  0.59176671 -0.12679755  0.43350096  0.15608033 -0.34182278  0.5612159
  0.00729793  0.2084811   0.10925023 -0.18012872 -0.22083404  0.32817424
 -0.21366584  0.18089024 -0.36754819 -0.17621937 -0.36045085 -0.05794944
 -0.02555044 -0.56333247  0.04453748 -0.08568879  0.03235256  0.46518452
  0.35779237  0.01428161 -0.2464758  -0.06657328 -0.04714229  0.52794324
  0.13975696  0.03610039  0.18535537 -0.16288136 -0.34807498  0.23910943
 -0.07209082 -0.00808805  0.02813977  0.19199013 -0.09994274 -0.2539794
  0.03537659 -0.30527829 -0.46117162 -0.28525906  0.04805614  0.18363222
  0.10570272  0.04437761  0.59079885 -0.22452981  0.0551419   0.67661147
  0.41906673 -0.06813987  0.40023229  0.03097014 -0.17813194  0.58210152
 -0.02333324  0.44609018 -0.14381913 -0.11400603  0.17145579 -0.05315139
 -0.37878525  0.21336381  0.21728732  0.14380036 -0.24298823  0.08581251
 -0.26178888 -0.66447382 -0.0106226  -0.26870601 -0.0854611  -0.92990043
 -0.33787855  0.18236447 -0.21523646 -0.12752407 -0.02946359 -0.12962818
 -0.02663099  0.02806864  0.10184049 -0.58935001  0.07527241 -0.00666455
 -0.21600538  0.20517558  0.22692669  0.02521433]"
2,"From my mother, piety and beneficence, and abstinence, not only from evil deeds, but even from evil thoughts; and further, simplicity in my way of living, far removed from the habits of the rich.","[-0.22908582  0.29476446  0.09918642 -0.09488621 -0.22268039 -0.09667643
 -0.1885231   0.2805218  -0.29116209 -0.2312327  -0.14480046  0.17281572
  0.26896376  0.04776165  0.17202907  0.01528082 -0.05480202 -0.11319607
 -0.14693447  0.48157805 -0.08926551  0.26965808  0.1096511   0.01516641
 -0.21963724 -0.04977744 -0.05115087 -0.43511951 -0.17281857 -0.09075425
  0.01982396  0.32545676  0.08240992 -0.15690666  0.41592579 -0.1956245
 -0.27782878  0.12087301 -0.30271876 -0.49951849  0.00375335  0.39063704
  0.15933223 -0.18448795  0.17624297  0.05623868  0.12828374 -0.08798388
 -0.17775129 -0.25854174  0.05630726  0.25361446  0.03444577  0.51219785
 -0.57057467 -0.03239889 -0.1250034  -0.16003695 -0.1212193   0.15463844
 -0.11211105 -0.26616764 -0.39385691  0.26929303  0.26663783 -0.22598751
 -0.15461431  0.21931581  0.44216497 -0.06148019 -0.02627574  0.30018756
 -0.10367543 -0.52736375 -0.38963856 -0.10051344 -0.07917004 -0.4198116
  0.25981821  0.25004034 -0.06361313 -0.030351    0.23448509  0.00532689
  0.25571432 -0.17065952  0.15247783 -0.29614705  0.12226258  0.10509107
  0.34408289 -0.30729271 -0.12535743  0.05418349  0.06627642  0.16529105
 -0.18222977 -0.29998964 -0.13247144  0.24132004 -0.00512509  0.26278347
 -0.13660766  0.07177697 -0.0789642  -0.01882301  0.16773028 -0.36919322
  0.21510007  0.18353327 -0.12295354 -0.13422704 -0.34624638 -0.24432056
 -0.00333203  0.2277164  -0.32243023 -0.2076953  -0.56027826 -0.04369699
  0.27341553  0.39915447  0.07848812 -0.05321613  0.29737789  0.1656244
 -0.43771616 -0.43029917 -0.193028    0.25976207 -0.16947567 -0.01799353
  0.36711179  0.11331495  0.23255789  0.63178333  0.18585304  0.35571324
  0.2904387   0.00718669 -0.23501412  0.03197628  0.35418295 -0.08662089
 -0.05127137 -0.00982984 -0.31357274  0.05176946  0.30955783  0.00616738
 -0.06075271  0.20217782  0.03622934 -0.31071061 -0.22971661 -0.00148097
  0.28486561 -0.12372509 -0.03039979  0.11996426  0.2614823  -0.04242564
  0.50371072 -0.10829389  0.36914506  0.13259876 -0.2908597   0.47801139
  0.00620092  0.17762035  0.09280863 -0.1534232  -0.187985    0.27927041
 -0.18200122  0.15427919 -0.31265935 -0.1500251  -0.3066108  -0.04951867
 -0.022316   -0.48028303  0.03791506 -0.07293856  0.02748724  0.39621955
  0.3048949   0.01237319 -0.20950525 -0.05652958 -0.03980457  0.44955528
  0.11917     0.03063266  0.15705905 -0.13892224 -0.29647799  0.20383971
 -0.0616527  -0.00695455  0.02381967  0.16337306 -0.08454015 -0.21612116
  0.03026467 -0.25985152 -0.39267132 -0.24294988  0.04080992  0.15651794
  0.0902048   0.03786212  0.5029344  -0.19090435  0.0471504   0.57615941
  0.35697651 -0.05793072  0.34087371  0.02649223 -0.151677    0.49541298
 -0.01998995  0.37958504 -0.12283831 -0.09681568  0.1460751  -0.04492471
 -0.32312222  0.18148345  0.18482604  0.12255221 -0.20723871  0.07303629
 -0.22306599 -0.56569243 -0.00916046 -0.22888558 -0.07255628 -0.79180154
 -0.28745071  0.15514493 -0.18365963 -0.10833379 -0.02508743 -0.11032405
 -0.02283418  0.0239944   0.08629207 -0.50184281  0.06399489 -0.00560766
 -0.18400821  0.17518422  0.19357842  0.02160081]"
3,"From my great-grandfather, not to have frequented public schools, and to have had good teachers at home, and to know that on such things a man should spend liberally.","[-0.22445551  0.28823872  0.09706907 -0.093089   -0.21829168 -0.09481848
 -0.18480755  0.27473798 -0.28490821 -0.2265333  -0.14167115  0.16913317
  0.26304736  0.04686544  0.16799473  0.01476676 -0.05380041 -0.1105063
 -0.14411524  0.4709925  -0.08737262  0.26389587  0.10780573  0.01465539
 -0.21481182 -0.04860597 -0.0499175  -0.42601965 -0.16925327 -0.08868357
  0.01992432  0.31863203  0.08097134 -0.15327138  0.40722267 -0.191482
 -0.27147134  0.11806766 -0.2964808  -0.48887908  0.00360165  0.38245662
  0.15606573 -0.18060127  0.17225154  0.05544193  0.12558729 -0.08608454
 -0.17434715 -0.25308916  0.05482679  0.2483908   0.03357727  0.5015305
 -0.55856431 -0.03163646 -0.12226762 -0.15678103 -0.11832078  0.15151552
 -0.10960184 -0.26030667 -0.38537682  0.26336564  0.26077343 -0.22108407
 -0.15115338  0.21444643  0.4327244  -0.06028002 -0.02554625  0.29358426
 -0.10143357 -0.51629195 -0.381252   -0.09808069 -0.07755357 -0.41094651
  0.25456443  0.24428681 -0.06206974 -0.02988651  0.22951961  0.00532594
  0.25011456 -0.16723368  0.14889357 -0.28988407  0.1191701   0.10294617
  0.33648524 -0.30114464 -0.12211159  0.0528875   0.06463834  0.16211469
 -0.17849044 -0.29355544 -0.12949366  0.2360796  -0.00480145  0.25691379
 -0.13370371  0.07029066 -0.07728025 -0.01792992  0.16389192 -0.36184143
  0.2103306   0.18010297 -0.120312   -0.13141641 -0.33852716 -0.23870118
 -0.0029279   0.22304446 -0.31571976 -0.20304049 -0.54805301 -0.04274998
  0.26729528  0.39028817  0.07690894 -0.0519679   0.29094967  0.16180328
 -0.4280785  -0.42095638 -0.18848874  0.25426542 -0.16526582 -0.0176914
  0.35893951  0.11095997  0.22757406  0.61880368  0.18158518  0.34823566
  0.28409856  0.00684048 -0.22970051  0.03107293  0.34671373 -0.08518348
 -0.05028689 -0.00931195 -0.30729788  0.05031292  0.30315772  0.00601346
 -0.05909721  0.19788225  0.03510331 -0.30423403 -0.22444554 -0.00159876
  0.2783563  -0.1211391  -0.02935657  0.11723931  0.25549109 -0.0420701
  0.49261359 -0.10578216  0.36161716  0.13006386 -0.28501278  0.46778304
  0.00626746  0.17385659  0.09118396 -0.15020055 -0.18407518  0.27350938
 -0.17802385  0.15074401 -0.30625885 -0.14677906 -0.30017088 -0.04837817
 -0.02167709 -0.46935152  0.03703356 -0.07136704  0.02668287  0.38733361
  0.29824046  0.01209468 -0.20508563 -0.05530753 -0.03932708  0.43981506
  0.11651599  0.03013413  0.15404538 -0.1357725  -0.29019506  0.19951149
 -0.06029259 -0.0067161   0.02318582  0.15973064 -0.08252411 -0.21179693
  0.02966751 -0.25430087 -0.38427413 -0.23755451  0.0400865   0.15281659
  0.08783971  0.03706909  0.49209489 -0.18672083  0.04587883  0.56338191
  0.3491564  -0.05657708  0.33314121  0.0258689  -0.14837095  0.48494688
 -0.01960647  0.37104133 -0.12013833 -0.0947515   0.14284471 -0.04438478
 -0.31614116  0.17747922  0.18093862  0.12013078 -0.20262415  0.07149957
 -0.21812872 -0.55387868 -0.00896942 -0.22398721 -0.07094282 -0.77465355
 -0.28117158  0.15177741 -0.17975108 -0.10626343 -0.02468787 -0.10784726
 -0.02227054  0.0233216   0.08480758 -0.49100333  0.06279271 -0.00550241
 -0.18003846  0.17108991  0.18897722  0.02098359]"
4,"From my governor, to be neither of the green nor of the blue party at the games in the Circus, nor a partizan either of the Parmularius or the Scutarius at the gladiators' fights; from him too I learned endurance of labour, and to want little, and to work with my own hands, and not to meddle with other people's affairs, and not to be ready to listen to slander.","[-0.18980856  0.24402256  0.08199546 -0.07872433 -0.1851002  -0.08022774
 -0.15650263  0.23255701 -0.24143912 -0.1919953  -0.1202254   0.14341596
  0.22296314  0.03960854  0.14249476  0.01267492 -0.04528325 -0.09369364
 -0.12170704  0.39908255 -0.07388889  0.22335998  0.09134376  0.01239498
 -0.18179879 -0.04139517 -0.04250888 -0.36091917 -0.1433162  -0.07540798
  0.01672848  0.26970409  0.0685845  -0.13003185  0.34464099 -0.16223667
 -0.2302613   0.10008566 -0.25111385 -0.41413224  0.00315915  0.32389492
  0.1321602  -0.15301552  0.14607219  0.04682775  0.10616375 -0.07298059
 -0.14770441 -0.21436375  0.04676165  0.2105835   0.0284271   0.42454464
 -0.47304295 -0.02689146 -0.10363289 -0.13254184 -0.10016148  0.12834336
 -0.09283449 -0.2204903  -0.32650122  0.22302926  0.22091122 -0.1872562
 -0.12828927  0.18171389  0.36670154 -0.05091479 -0.0217498   0.24868857
 -0.08611586 -0.43718473 -0.32269999 -0.08325783 -0.06547879 -0.34808907
  0.21562617  0.20715809 -0.05274127 -0.02520203  0.19443447  0.00445462
  0.21188498 -0.14136452  0.1262567  -0.24561096  0.10121548  0.08710841
  0.28501598 -0.25479932 -0.1036259   0.04469247  0.05477381  0.13713056
 -0.15098245 -0.24876915 -0.10985508  0.19994305 -0.00421627  0.2177264
 -0.11359494  0.05960906 -0.06584709 -0.01555081  0.13906353 -0.30631943
  0.17825471  0.15219939 -0.10199067 -0.11117946 -0.28694827 -0.20238528
 -0.00248955  0.18882311 -0.26712277 -0.17194102 -0.46415233 -0.03603787
  0.22636214  0.33081612  0.06504252 -0.04388852  0.24650002  0.13717877
 -0.36265016 -0.35686898 -0.16006583  0.21529153 -0.14042704 -0.01512578
  0.3043343   0.09401706  0.19287142  0.52381133  0.15361211  0.29523662
  0.2407931   0.00601981 -0.19469614  0.02637464  0.29343345 -0.07183981
 -0.04224404 -0.00795372 -0.26015532  0.04299669  0.25659576  0.00494478
 -0.05037975  0.16764801  0.02969576 -0.25753901 -0.19015741 -0.00109788
  0.23598752 -0.1026045  -0.02505333  0.09945842  0.21643912 -0.03551101
  0.41724411 -0.08944373  0.30597663  0.10990912 -0.24123638  0.39624993
  0.00530474  0.14711389  0.07715741 -0.12709736 -0.15586034  0.23164553
 -0.15068588  0.12775352 -0.25936106 -0.12451157 -0.25439218 -0.04118653
 -0.01856778 -0.39776937  0.0311112  -0.06061601  0.02283111  0.32803191
  0.25279287  0.01003406 -0.17366935 -0.0471548  -0.03307394  0.37270869
  0.09883412  0.02513263  0.13043035 -0.11511988 -0.24562725  0.16873721
 -0.05105135 -0.00560972  0.01962655  0.13521194 -0.07010534 -0.17925793
  0.02520513 -0.21552653 -0.32529272 -0.201411    0.03405997  0.12951275
  0.07455468  0.03134207  0.41689788 -0.15828576  0.03923399  0.477244
  0.29578713 -0.0479673   0.28245827  0.02184774 -0.12593998  0.4106766
 -0.01653848  0.31493191 -0.101707   -0.08041938  0.12110635 -0.03756767
 -0.26751152  0.15046169  0.15324433  0.10171941 -0.17160188  0.06049047
 -0.18501979 -0.46898848 -0.00737207 -0.18954558 -0.0601013  -0.65611395
 -0.23843307  0.12851139 -0.15192815 -0.09005466 -0.02089689 -0.0913151
 -0.01881641  0.01997637  0.0718931  -0.41585559  0.05298023 -0.00441894
 -0.15211209  0.1450278   0.16016405  0.01770028]"
5,"From Diognetus, not to busy myself about trifling things, and not to give credit to what was said by miracle-workers and jugglers about incantations and the driving away of daemons and such things; and not to breed quails for fighting, nor to give myself up passionately to such things; and to endure freedom of speech; and to have become intimate with philosophy; and to have been a hearer, first of Bacchius, then of Tandasis and Marcianus; and to have written dialogues in my youth; and to have desired a plank bed and skin, and whatever else of the kind belongs to the Grecian discipline.","[-0.20740288  0.26664548  0.08932439 -0.08588785 -0.20170139 -0.08763718
 -0.1706236   0.25400398 -0.26349827 -0.20944527 -0.13104693  0.15631261
  0.24325401  0.04315469  0.15554728  0.01378694 -0.04940614 -0.10226604
 -0.13293822  0.43563406 -0.08087574  0.24386768  0.0997958   0.01345896
 -0.19855839 -0.04527429 -0.04636443 -0.39386336 -0.15658269 -0.08210365
  0.01809079  0.294715    0.07490232 -0.14193857  0.37640961 -0.17704003
 -0.25138835  0.1092451  -0.27395891 -0.45211501  0.00335385  0.35342631
  0.14411706 -0.16687923  0.15931353  0.05104143  0.1158513  -0.07955359
 -0.16119149 -0.23404035  0.050763    0.22975279  0.03089999  0.46353744
 -0.51617645 -0.0292954  -0.11315113 -0.14470192 -0.10932484  0.14004857
 -0.10120388 -0.24042077 -0.35638424  0.24360331  0.24112637 -0.20448887
 -0.13977533  0.19842694  0.40004152 -0.05568495 -0.02374049  0.27167455
 -0.09385403 -0.47725659 -0.35223427 -0.09088678 -0.07145439 -0.37981097
  0.23531085  0.22611603 -0.05751408 -0.02758704  0.21213693  0.00496682
  0.23118055 -0.15450524  0.13768811 -0.26793134  0.11038303  0.09497727
  0.3112193  -0.27824238 -0.11309972  0.04894087  0.05992919  0.14966559
 -0.16505103 -0.27129685 -0.11984151  0.21816443 -0.00452282  0.23761762
 -0.12385334  0.06504435 -0.07153802 -0.01696084  0.15176603 -0.33444275
  0.1943919   0.16629692 -0.11146797 -0.12129042 -0.31314912 -0.2209142
 -0.0030336   0.20614646 -0.29176902 -0.18796873 -0.50659318 -0.03954786
  0.24710342  0.36113962  0.07117814 -0.04803711  0.26880275  0.14953528
 -0.39583103 -0.38917539 -0.17458729  0.23509223 -0.15330623 -0.01627226
  0.33199539  0.10265682  0.21046337  0.57185422  0.16787764  0.322022
  0.26284135  0.00634401 -0.21250569  0.02903507  0.32060338 -0.07851271
 -0.04634654 -0.00866913 -0.28390713  0.04648171  0.28015237  0.00551989
 -0.054771    0.18302514  0.03255159 -0.281058   -0.20774142 -0.00134466
  0.2574539  -0.11180342 -0.02726212  0.10839764  0.23643889 -0.03873214
  0.45560626 -0.09775755  0.33420418  0.11991331 -0.26326718  0.4324636
  0.00553955  0.16059185  0.08415189 -0.13887721 -0.17029702  0.25285824
 -0.16462863  0.13951672 -0.28306252 -0.13583131 -0.27751751 -0.04481431
 -0.02020811 -0.43431105  0.03423364 -0.06609308  0.02484082  0.35826291
  0.27568029  0.01093242 -0.18981871 -0.05133548 -0.03618398  0.40688648
  0.10803227  0.02772551  0.14241671 -0.12568179 -0.26817838  0.18435359
 -0.0558768  -0.00619029  0.02139789  0.14768305 -0.07640637 -0.19586118
  0.02729601 -0.23505197 -0.35519558 -0.2197731   0.03722179  0.14153335
  0.08136563  0.03408678  0.45476774 -0.17280644  0.04233695  0.52118175
  0.32278306 -0.05216534  0.30836646  0.0239369  -0.13738821  0.44830042
 -0.01806761  0.34340043 -0.11114158 -0.08792856  0.13211207 -0.04097002
 -0.29220331  0.16411454  0.16723476  0.1112161  -0.18715628  0.06601034
 -0.20173245 -0.51174614 -0.00826512 -0.20697431 -0.06564884 -0.71627718
 -0.26014685  0.14040831 -0.16602253 -0.09818347 -0.02268253 -0.0998508
 -0.02073115  0.02179146  0.0783751  -0.45406301  0.05804192 -0.00508877
 -0.16614128  0.15822158  0.17494478  0.01941014]"
6,"From Rusticus I received the impression that my character required improvement and discipline; and from him I learned not to be led astray to sophistic emulation, nor to writing on speculative matters, nor to delivering little hortatory orations, nor to showing myself off as a man who practises much discipline, or does benevolent acts in order to make a display; and to abstain from rhetoric, and poetry, and fine writing; and not to walk about in the house in my outdoor dress, nor to do other things of the kind; and to write my letters with simplicity, like the letter which Rusticus wrote from Sinuessa to my mother; and with respect to those who have offended me by words, or done me wrong, to be easily disposed to be pacified and reconciled, as soon as they have shown a readiness to be reconciled; and to read carefully, and not to be satisfied with a superficial understanding of a book; nor hastily to give my assent to those who talk overmuch; and I am indebted to him for being acquainted with the discourses of Epictetus, which he communicated to me out of his own collection.","[-0.22462277  0.28876516  0.09696185 -0.09311628 -0.21876747 -0.094879
 -0.18488655  0.27493775 -0.28536715 -0.22688676 -0.14197069  0.16939427
  0.26353645  0.04667354  0.16852635  0.01480374 -0.05356544 -0.11074332
 -0.14406417  0.47180514 -0.08749883  0.26413039  0.10788523  0.0147248
 -0.21502368 -0.04883331 -0.05015974 -0.4267044  -0.16940637 -0.08894381
  0.01982363  0.31898854  0.08116443 -0.15374881  0.40767493 -0.19172758
 -0.27224124  0.11845896 -0.29683647 -0.48961355  0.00366034  0.38284136
  0.15611377 -0.18085315  0.1725817   0.05527997  0.12560126 -0.08615926
 -0.1744352  -0.25340677  0.05517158  0.24862328  0.0334124   0.50198747
 -0.55926254 -0.03175934 -0.12254761 -0.15666525 -0.1186595   0.15170541
 -0.10963391 -0.26056859 -0.38597206  0.26392436  0.26108356 -0.22146466
 -0.15139734  0.2147299   0.43344682 -0.06040253 -0.02569194  0.29423615
 -0.10152642 -0.51701562 -0.38157604 -0.09835981 -0.07758781 -0.41135503
  0.25496742  0.24490848 -0.06212347 -0.02981811  0.22963744  0.00524469
  0.2505757  -0.16736985  0.14920759 -0.29000539  0.11962     0.10291297
  0.33708918 -0.30131337 -0.12237459  0.05318786  0.06481878  0.16204348
 -0.17860803 -0.29390152 -0.12960978  0.23618347 -0.00494272  0.25730391
 -0.13421436  0.07053109 -0.077424   -0.01827609  0.16434641 -0.3621675
  0.21061913  0.18025933 -0.12058305 -0.13151077 -0.33930027 -0.2392295
 -0.00314587  0.22324072 -0.31592314 -0.20348921 -0.5486792  -0.04284173
  0.26774767  0.3911087   0.07702505 -0.05213602  0.29118618  0.16213366
 -0.42868652 -0.42167467 -0.18897763  0.25469032 -0.16598179 -0.01769811
  0.35970852  0.11111143  0.22785933  0.61932327  0.18180441  0.34889244
  0.2846456   0.00706594 -0.23003792  0.03131492  0.34720391 -0.08507671
 -0.05009725 -0.00931079 -0.30740279  0.05054399  0.30345622  0.00618362
 -0.05945454  0.19817323  0.03536066 -0.30451416 -0.22479598 -0.00131167
  0.27904586 -0.12123763 -0.02956935  0.11751106  0.25604604 -0.04194978
  0.49345165 -0.10588715  0.36179701  0.1299531  -0.28503195  0.46837819
  0.00616331  0.17391854  0.09099851 -0.15035613 -0.18426007  0.27381776
 -0.17822023  0.15114264 -0.30655025 -0.14721154 -0.30062647 -0.04874506
 -0.0218105  -0.47034742  0.03704307 -0.07147796  0.02691817  0.3880657
  0.29871067  0.01196277 -0.20542136 -0.05553392 -0.03921825  0.44073812
  0.1169013   0.02997357  0.15438279 -0.13610552 -0.29034776  0.19962436
 -0.06045121 -0.00666492  0.02325247  0.16000119 -0.08284955 -0.21193837
  0.02951127 -0.25459504 -0.38472831 -0.2380292   0.04025878  0.15321038
  0.08822828  0.03709142  0.4927268  -0.18716924  0.04597387  0.5644492
  0.34952145 -0.05659717  0.33383656  0.02574442 -0.14888342  0.48551283
 -0.01952614  0.37200657 -0.12029893 -0.09495185  0.14310935 -0.04438583
 -0.31633689  0.1777914   0.18119324  0.12028767 -0.20275872  0.0715314
 -0.21844281 -0.5543977  -0.00874162 -0.22409755 -0.07120447 -0.77572334
 -0.28182855  0.15208259 -0.17979591 -0.10635168 -0.02458208 -0.10803217
 -0.0222872   0.02344091  0.08494566 -0.49170995  0.0628355  -0.0054309
 -0.18008019  0.17126127  0.18947865  0.02108343]"
